exercise,kcalburn
,
กวาดพื้น,225
ขี่จักรยาน,400
เช็ดถูบานหน้าต่าง,250
ซักผ้าด้วยมือ,240
เดินขึ้นเนิน,550
เดินขึ้นบันได,600
เดินช้า,150
เดินธรรมดา,300
เดินเร็ว,420
เดินลงเนิน,240
เดินลงบันได,425
เดินเล่น,210
ต่อยมวย,464
ตัดหญ้า,250
ตีกอล์ฟ แบกถุงกอล์ฟเอง,360
ตีกอล์ฟ ลากถุงกอล์ฟ,300
"ตีกอล์ฟ, นั่งรถ",240
เต้นรำ,350
เต้นแอโรบิค High Impact,406
เต้นแอโรบิค Low Impact,320
ทำกับข้าว,176
ทำงานบ้าน,250
ทำสวน,250
เทนนิส แข่งขัน,600
เทนนิส เล่นเพื่อสนุก,450
นอนหลับ,75
นั่งดูโทรทัศน์,100
นั่งทำงานใช้สมอง,110
บาสเก็ตบอล,660
ปัดฝุ่น,191
ปูที่นอน,135
ยืน,140
เย็บผ้า,115
รีดผ้า,150
รีดผ้า,120
ลงนอน (ไม่หลับ),85
เล่นเทนนิสคู่,360
เล่นเทนนิสเดี่ยว,480
เล่นแบดมินตัน,350
เล่นโบว์ลิ่ง,400
เล่นวอลเล่ย์บอล,300
เล่นสเก็ตแข่งความเร็ว,700
เล่นสเก็ตปกติ,420
เลื่อยไม้,515
วอลเล่ย์บอล แข่งขัน,600
วอลเล่ย์บอล เล่นเพื่อสนุก,350
ว่ายน้ำ,500
วิ่งเร็ว,900
วิ่งเหยาะๆ,700
ฟุตบอล,900
